season,njcaa_season,njcaa_division,IP,H,R,ER,BB,K,HR,ERA,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2013,2012-13,div1,58257.596,60171.0,37268.0,28373.0,24905.56,44731.0,2768.0,4.383,1.46,9.296,0.428,3.848,6.91,1.796,5.757
2013,2012-13,div2,36936.952,38506.0,26154.0,19336.0,17822.0,27994.0,1163.0,4.711,1.525,9.382,0.283,4.342,6.821,1.571,6.373
2013,2012-13,div3,17473.962,18929.0,13375.0,9446.0,8002.0,13373.0,435.0,4.865,1.541,9.749,0.224,4.121,6.888,1.671,6.889
2014,2013-14,div1,64886.91,68812.0,44110.0,32725.0,27973.0,50705.0,2913.0,4.539,1.492,9.544,0.404,3.88,7.033,1.813,6.118
2014,2013-14,div2,38957.295,42101.0,28891.0,20512.0,18270.0,29128.0,1629.0,4.739,1.55,9.726,0.376,4.221,6.729,1.594,6.674
2014,2013-14,div3,16998.985,18393.0,13329.0,9201.0,8377.0,13382.0,461.0,4.871,1.575,9.738,0.244,4.435,7.085,1.597,7.057
2015,2014-15,div1,66726.261,71558.0,46363.0,35274.0,30365.0,53309.0,3550.0,4.758,1.527,9.652,0.479,4.096,7.19,1.756,6.253
2015,2014-15,div2,42081.618,47138.0,33265.0,24321.0,20675.0,32718.0,2082.0,5.202,1.611,10.081,0.445,4.422,6.997,1.582,7.114
2015,2014-15,div3,19619.323,22354.0,16841.0,12224.0,10166.0,15033.0,690.0,5.608,1.658,10.254,0.317,4.663,6.896,1.479,7.725
2016,2015-16,div1,69403.218,79120.0,56173.0,43020.0,34308.0,61408.0,5847.0,5.579,1.634,10.26,0.758,4.449,7.963,1.79,7.284
2016,2015-16,div2,43429.606,49788.0,37662.0,27305.0,23336.0,37197.0,2937.0,5.658,1.684,10.318,0.609,4.836,7.708,1.594,7.805
2016,2015-16,div3,21129.99,23682.0,18411.0,13051.0,11370.0,17559.0,934.0,5.559,1.659,10.087,0.398,4.843,7.479,1.544,7.842
2017,2016-17,div1,68950.24,75883.0,53361.0,41007.0,34399.0,62141.0,5564.0,5.353,1.599,9.905,0.726,4.49,8.111,1.806,6.965
2017,2016-17,div2,41558.266,46847.0,35313.0,26305.0,22905.0,36385.0,3065.0,5.697,1.678,10.145,0.664,4.96,7.88,1.589,7.648
2017,2016-17,div3,23959.628,27530.0,21547.0,15727.0,13796.0,19785.0,1184.0,5.908,1.725,10.341,0.445,5.182,7.432,1.434,8.094
2018,2017-18,div1,66736.512,73635.0,54095.0,41501.0,34440.0,64446.0,6001.0,5.597,1.619,9.93,0.809,4.645,8.691,1.871,7.295
2018,2017-18,div2,41980.597,46804.0,36641.0,27102.0,24065.0,38893.0,3193.0,5.81,1.688,10.034,0.685,5.159,8.338,1.616,7.855
2018,2017-18,div3,23781.974,28658.0,23461.0,17288.0,14144.0,21034.0,1420.0,6.542,1.8,10.845,0.537,5.353,7.96,1.487,8.879
2019,2018-19,div1,66488.9,69661.0,51236.0,38995.0,35996.51,64512.0,4991.0,5.278,1.589,9.429,0.676,4.873,8.732,1.792,6.935
2019,2018-19,div2,41284.951,44655.0,34565.0,25981.0,24246.0,39216.0,2764.0,5.664,1.669,9.735,0.603,5.286,8.549,1.617,7.535
2019,2018-19,div3,24050.947,27725.0,23072.0,17132.0,14966.0,21849.0,1312.0,6.411,1.775,10.375,0.491,5.6,8.176,1.46,8.634
2020,2019-20,div1,25672.946,25503.0,19274.0,14515.0,14437.0,27714.0,1789.0,5.088,1.556,8.94,0.627,5.061,9.716,1.92,6.757
2020,2019-20,div2,11501.97,12253.0,9893.0,7382.0,7042.0,11582.0,838.0,5.776,1.678,9.588,0.656,5.51,9.063,1.645,7.741
2020,2019-20,div3,4523.32,5085.0,4386.0,3241.0,3134.0,4622.0,300.0,6.449,1.817,10.118,0.597,6.236,9.196,1.475,8.727
2021,2020-21,div1,57336.257,62894.0,49552.0,38948.0,33017.0,60802.0,6173.0,6.114,1.673,9.872,0.969,5.183,9.544,1.842,7.778
2021,2020-21,div2,36795.286,42480.0,35382.0,27537.0,22865.0,36919.0,3867.0,6.735,1.776,10.39,0.946,5.593,9.03,1.615,8.654
2021,2020-21,div3,15961.663,18886.0,16003.0,12114.0,10079.0,15435.0,1370.0,6.83,1.815,10.649,0.772,5.683,8.703,1.531,9.023
2022,2021-22,div1,65466.568,71841.0,55424.0,43628.0,36530.0,68008.0,6349.0,5.998,1.655,9.876,0.873,5.022,9.349,1.862,7.619
2022,2021-22,div2,45887.616,51831.0,41577.0,32119.0,27220.0,44887.0,3961.0,6.3,1.723,10.166,0.777,5.339,8.804,1.649,8.155
2022,2021-22,div3,21379.652,25246.0,21517.0,16134.0,13246.0,20149.0,1543.0,6.792,1.8,10.628,0.65,5.576,8.482,1.521,9.058
2023,2022-23,div1,81427.669,83841.0,66687.0,52407.0,49571.0,82838.0,6566.0,5.792,1.638,9.267,0.726,5.479,9.156,1.671,7.371
2023,2022-23,div2,48181.575,56999.0,50857.0,40261.0,35005.0,42285.0,3610.0,7.52,1.91,10.647,0.674,6.539,7.899,1.208,9.5
2023,2022-23,div3,22094.631,25819.0,21760.0,16285.0,13724.0,20399.0,1344.0,6.634,1.79,10.517,0.547,5.59,8.309,1.486,8.864
2024,2023-24,div1,42176.917,45403.0,35550.0,28219.0,38770.1,25482.0,42323.0,6.022,1.996,9.688,9.031,8.273,5.438,0.657,7.586
2024,2023-24,div2,34865.936,38467.0,31741.0,24163.0,33363.37,22180.0,33635.0,6.237,2.06,9.93,8.682,8.612,5.725,0.665,8.193
2024,2023-24,div3,11177.988,13159.0,12049.0,9130.0,11216.18,7898.0,10470.0,7.351,2.181,10.595,8.43,9.031,6.359,0.704,9.701
